"id","word","nature","index_word","n","tf","idf","tf_idf"
732,"值得","v",6,159,0.30873786407767,1.9121015385015,0.590338144896579
946,"京东","ns",1,325,0.491679273827534,1.19718055839199,0.588628867590617
641,"选择","v",5,70,0.215384615384615,2.73251049867237,0.588540722790972
275,"漫步者","n",1,101,0.248157248157248,2.36588522388047,0.587111566614072
449,"音效","n",4,162,0.309160305343511,1.89340940548935,0.585367029941363
159,"连接","v",3,181,0.327305605786618,1.7825087094559,0.583425092968388
989,"老年人","n",2,10,0.123456790123457,4.67842064772768,0.577582796015763
604,"产品","n",3,100,0.242130750605327,2.37583555473364,0.575262846182479
1063,"实惠","vn",1,39,0.173333333333333,3.31744409459208,0.575023643062628
693,"小巧","n",4,112,0.252821670428894,2.26250686942664,0.572010766085289
604,"客服","n",1,99,0.239709443099274,2.38588589058714,0.571919378131058
1003,"喜欢","v",2,591,0.948635634028893,0.599189723315632,0.568412723081121
987,"家里","s",6,51,0.186131386861314,3.0491801079974,0.567548122291488
604,"好看","v",5,97,0.234866828087167,2.40629476221835,0.565158818244987
1044,"值得","v",4,159,0.295539033457249,1.9121015385015,0.565100640560852
1031,"喜欢","v",3,591,0.939586645468998,0.599189723315632,0.562990662129632
451,"音效","n",7,162,0.296703296703297,1.89340940548935,0.561780812617718
548,"宝贝","nr",1,83,0.218421052631579,2.56216513292513,0.559630805349437
992,"声音","n",12,206,0.338259441707718,1.65312957193215,0.559186686072287
968,"效果","n",3,293,0.427113702623907,1.30083313170466,0.55560365537823
770,"效果","n",10,293,0.425872093023256,1.30083313170466,0.553988528473061
589,"东西","ns",6,222,0.350157728706625,1.57832835884945,0.552663873287978
559,"很快","d",2,246,0.372163388804841,1.47567420478937,0.5491919128263
833,"服务态度","n",1,53,0.18213058419244,3.01071382716961,0.548343068178657
1044,"好评","v",1,149,0.276951672862454,1.97705943477627,0.547549917809785
987,"收音机","n",2,48,0.175182481751825,3.10980472981384,0.544783310332351
987,"收音机","n",3,48,0.175182481751825,3.10980472981384,0.544783310332351
572,"适合","v",1,65,0.193452380952381,2.80661847082609,0.542947025606238
613,"电池","n",3,50,0.174825174825175,3.06898273529358,0.536535443233144
135,"耳机","n",7,457,0.625170998632011,0.856322349827525,0.535347898592584
1036,"能力","n",8,15,0.125,4.27295553961952,0.53411944245244
1073,"京东","ns",10,325,0.445205479452055,1.19718055839199,0.532991344489586
559,"东西","ns",1,222,0.335854765506808,1.57832835884945,0.530089100854127
946,"东西","ns",7,222,0.335854765506808,1.57832835884945,0.530089100854127
400,"声音","n",2,206,0.320373250388802,1.65312957193215,0.529618494273752
667,"速度","n",8,128,0.247582205029014,2.12897547680211,0.527096442999363
891,"一款","m",2,53,0.174917491749175,3.01071382716961,0.526626511023067
1023,"里","f",9,41,0.16078431372549,3.26743367401742,0.525352080920448
798,"重启","v",4,2,0.0833333333333333,6.28785856016178,0.523988213346815
484,"收到","v",7,205,0.314900153609831,1.65799576158332,0.522103120007037
488,"效果","n",2,293,0.398097826086957,1.30083313170466,0.517858841833514
210,"效果","n",7,293,0.397018970189702,1.30083313170466,0.51645543033803
1077,"功能","n",4,120,0.234833659491194,2.19351399793968,0.515110919281335
415,"东西","ns",2,222,0.323615160349854,1.57832835884945,0.510770984933787
493,"购买","v",5,177,0.282296650717703,1.8048560081479,0.509504806127876
880,"物流","n",8,237,0.333802816901408,1.5129455995866,0.505025502960597
858,"喜欢","v",8,591,0.835926449787836,0.599189723315632,0.500878538160592
159,"很棒","a",11,132,0.23869801084991,2.09820381813536,0.500837077746596
341,"第二天","m",3,73,0.185279187817259,2.69054629957334,0.498502233169679
1073,"很快","d",11,246,0.336986301369863,1.47567420478937,0.497281992298883
161,"真的","d",3,225,0.317348377997179,1.56490533851731,0.496620170897595
968,"声音","n",1,206,0.300291545189504,1.65312957193215,0.496420833553969
732,"小巧","n",1,112,0.21747572815534,2.26250686942664,0.492040328885016
641,"一款","m",1,53,0.163076923076923,3.01071382716961,0.490977947199967
667,"小巧","n",1,112,0.216634429400387,2.26250686942664,0.490136884672695
484,"快递","v",1,175,0.268817204301075,1.81621976679822,0.488231120107047
672,"外观","n",1,107,0.210629921259843,2.30817690625982,0.486171120019294
742,"蓝牙","ns",4,264,0.344198174706649,1.40505663757541,0.483617930012919
873,"很快","d",10,246,0.327563249001332,1.47567420478937,0.483376636988261
499,"京东","ns",11,325,0.403225806451613,1.19718055839199,0.482734096125803
875,"一款","m",4,53,0.159159159159159,3.01071382716961,0.479182681201169
1049,"按键","n",6,15,0.111940298507463,4.27295553961952,0.478315918614125
1006,"退","v",6,7,0.0945945945945946,5.03509559166642,0.476292826238715
877,"蓝牙","ns",5,264,0.337595907928389,1.40505663757541,0.474341371253081
536,"正品","n",2,23,0.122994652406417,3.84551152479258,0.472977353316734
499,"效果","n",5,293,0.363523573200993,1.30083313170466,0.472883508175516
316,"效果","n",9,293,0.363073110285006,1.30083313170466,0.472297531089797
703,"满意","v",6,294,0.362515413070284,1.29742597338305,0.470336912669071
210,"音响","n",4,212,0.287262872628726,1.62441946604972,0.466635402171464
1063,"手","n",6,29,0.128888888888889,3.61370991073526,0.465767055161433
777,"好评","v",14,149,0.234645669291339,1.97705943477627,0.463908434301834
672,"好看","v",2,97,0.190944881889764,2.40629476221835,0.459469669163739
512,"满意","v",16,294,0.353790613718412,1.29742597338305,0.459017131377396
300,"效果","n",6,293,0.352163461538462,1.30083313170466,0.458105898545031
727,"手机","n",9,182,0.254545454545455,1.77699905364493,0.452327031836892
888,"很快","d",2,246,0.305970149253731,1.47567420478937,0.451512256689284
742,"音响","n",5,212,0.276401564537158,1.62441946604972,0.448992081880756
877,"东西","ns",4,222,0.283887468030691,1.57832835884945,0.448067641514806
703,"很快","d",3,246,0.303329223181258,1.47567420478937,0.447615110207379
1046,"服务","vn",1,68,0.161904761904762,2.76149803554562,0.447099681945482
676,"喜欢","v",2,591,0.743396226415094,0.599189723315632,0.445435379219545
306,"朋友","n",2,108,0.192857142857143,2.29887451359751,0.44335437047952
306,"朋友","n",6,108,0.192857142857143,2.29887451359751,0.44335437047952
770,"值得","v",11,159,0.231104651162791,1.9121015385015,0.441895559043224
493,"很棒","a",10,132,0.210526315789474,2.09820381813536,0.441727119607444
765,"客服","n",2,99,0.184701492537313,2.38588589058714,0.440676685015162
594,"里","f",4,41,0.134868421052632,3.26743367401742,0.440673620508929
608,"效果","n",7,293,0.338728323699422,1.30083313170466,0.44062902611499
540,"希望","v",4,63,0.155172413793103,2.8378710143302,0.440359295327099
992,"这款","r",1,124,0.203612479474548,2.16072417511669,0.439950406756108
992,"这款","r",3,124,0.203612479474548,2.16072417511669,0.439950406756108
1039,"不好","d",3,21,0.111702127659574,3.93648330299831,0.4397135604413
672,"外放","v",4,90,0.177165354330709,2.48119607039146,0.439581980974866
845,"手机","n",5,182,0.245945945945946,1.77699905364493,0.437045713193754
589,"很棒","a",5,132,0.20820189274448,2.09820381813536,0.436850006299475
985,"收音机","n",1,48,0.140350877192982,3.10980472981384,0.436463821728258
175,"耳塞","n",10,41,0.132258064516129,3.26743367401742,0.432144453660369
845,"购买","v",9,177,0.239189189189189,1.8048560081479,0.431702045192133
540,"品牌","n",1,61,0.150246305418719,2.87013187654842,0.431226710515895
608,"蓝牙","ns",6,264,0.305202312138728,1.40505663757541,0.428826534473883
873,"快递","v",7,175,0.233022636484687,1.81621976679822,0.423220318494924
820,"喜欢","v",6,591,0.706093189964158,0.599189723315632,0.423083783129675
888,"收到","v",4,205,0.254975124378109,1.65799576158332,0.422747675528086
493,"功能","n",7,120,0.191387559808612,2.19351399793968,0.41981129147171
987,"老人","n",7,33,0.12043795620438,3.48449817925525,0.419665839107384
861,"满意","v",10,294,0.322368421052632,1.29742597338305,0.418249162472167
912,"下次","t",3,45,0.131578947368421,3.17434325095141,0.417676743546238
717,"听","v",6,197,0.245942571785268,1.69780201198374,0.417561793209484
211,"特别","d",6,229,0.269411764705882,1.54728373716749,0.416856442131006
1058,"活动","vn",2,38,0.124590163934426,3.34341958099534,0.416557193697781
589,"功能","n",2,120,0.189274447949527,2.19351399793968,0.415176151029593
880,"好评","v",12,149,0.209859154929577,1.97705943477627,0.414904022227696
587,"货","n",2,35,0.121107266435986,3.42565767923232,0.41487203727727
415,"孩子","n",9,139,0.202623906705539,2.04653180759104,0.414676270051245
211,"真的","d",8,225,0.264705882352941,1.56490533851731,0.414239648431053
341,"晚上","t",1,54,0.137055837563452,2.99202169415746,0.410074039300768
175,"耳朵","n",14,38,0.12258064516129,3.34341958099534,0.4098385292833
1002,"到手","d",2,27,0.110655737704918,3.6851688747174,0.407785080399057
256,"京东","ns",2,325,0.339602925809822,1.19718055839199,0.406566020352558
654,"京东","ns",1,325,0.339602925809822,1.19718055839199,0.406566020352558
654,"京东","ns",8,325,0.339602925809822,1.19718055839199,0.406566020352558
410,"满意","v",1,294,0.313099041533546,1.29742597338305,0.406222828726961
572,"视频","n",6,42,0.125,3.24333612243836,0.405417015304795
717,"手机","n",5,182,0.227215980024969,1.77699905364493,0.403762581477376
608,"感觉","n",3,219,0.253179190751445,1.59193401090523,0.403044564610688
316,"手机","n",7,182,0.225526641883519,1.77699905364493,0.400760629198734
709,"收音机","n",4,48,0.128686327077748,3.10980472981384,0.400189348608751
256,"满意","v",6,294,0.307210031347962,1.29742597338305,0.398582273954667
818,"喜欢","v",10,591,0.660335195530726,0.599189723315632,0.395666063105629
215,"京东","ns",4,325,0.330284552845528,1.19718055839199,0.395410245403859
888,"快递","v",1,175,0.217661691542289,1.81621976679822,0.39532146665384
410,"蓝牙","ns",2,264,0.281150159744409,1.40505663757541,0.39503189810427
594,"学生","n",1,35,0.115131578947368,3.42565767923232,0.394401377543194
861,"物流","n",4,237,0.259868421052632,1.5129455995866,0.393166784103096
647,"喜欢","v",1,591,0.655937846836848,0.599189723315632,0.393031216958422
1030,"客服","n",5,99,0.164725457570715,2.38588589058714,0.393016145038481
1033,"收音机","n",1,48,0.12532637075718,3.10980472981384,0.389740540551082
1033,"时间","n",3,48,0.12532637075718,3.10980472981384,0.389740540551082
1033,"时间","n",7,48,0.12532637075718,3.10980472981384,0.389740540551082
404,"喜欢","v",5,591,0.648737650933041,0.599189723315632,0.388716933567001
663,"收到","v",2,205,0.234018264840183,1.65799576158332,0.388001291238106
663,"收到","v",13,205,0.234018264840183,1.65799576158332,0.388001291238106
479,"喜欢","v",2,591,0.647316538882804,0.599189723315632,0.38786541783082
833,"锐族","x",12,32,0.109965635738832,3.515269837922,0.386558882520633
