"id","word","nature","index_word","n","tf","idf","tf_idf"
80,"恶心","n",2,4,0.5,5.55971962997934,2.77985981498967
24,"售后","n",1,65,1,2.77162672120359,2.77162672120359
281,"一般般","l",3,23,0.71875,3.81051977517008,2.73881108840349
522,"很大","a",2,18,0.666666666666667,4.05564223320306,2.70376148880204
263,"一分货","n",2,7,0.538461538461538,5.00010384204391,2.69236360725442
464,"一分货","n",2,7,0.538461538461538,5.00010384204391,2.69236360725442
823,"垃圾","n",1,63,0.954545454545455,2.80287926470769,2.67547566176644
193,"降价","n",2,38,0.808510638297872,3.30842783137284,2.6748990977057
772,"屏幕","n",1,37,0.787234042553192,3.335096078455,2.62550116814543
442,"杂音","n",4,62,0.925373134328358,2.81887960605414,2.6085154563486
959,"杂音","n",1,62,0.925373134328358,2.81887960605414,2.6085154563486
996,"杂音","n",1,62,0.925373134328358,2.81887960605414,2.6085154563486
907,"两天","m",2,17,0.62962962962963,4.11280064704301,2.58954114813819
1027,"太","d",1,41,0.788461538461538,3.23244192439492,2.54865613269599
465,"效果","n",2,67,0.917808219178082,2.74132137170826,2.51600728636238
722,"坏","a",1,84,1,2.51519719225591,2.51519719225591
729,"坏","a",1,84,1,2.51519719225591,2.51519719225591
474,"一塌糊涂","i",1,3,0.428571428571429,5.84740170243112,2.50602930104191
300,"东","ns",4,4,0.444444444444444,5.55971962997934,2.47098650221304
100,"坏","a",2,84,0.976744186046512,2.51519719225591,2.45670423429647
639,"快递","v",4,59,0.855072463768116,2.86847654719351,2.45275530846981
299,"一般般","l",1,23,0.638888888888889,3.81051977517008,2.43449874524755
855,"快递","v",2,59,0.842857142857143,2.86847654719351,2.41771594692024
617,"差评","x",3,85,0.955056179775281,2.50336273460891,2.39085204990739
263,"一分钱","n",1,6,0.461538461538462,5.15425452187117,2.37888670240208
464,"一分钱","n",1,6,0.461538461538462,5.15425452187117,2.37888670240208
805,"下载","v",1,72,0.888888888888889,2.66934787208317,2.37275366407393
253,"字","n",5,14,0.538461538461538,4.30695666148397,2.31913051002983
752,"真心话","l",1,1,0.333333333333333,6.94601399109923,2.31533799703308
168,"故障","n",2,18,0.5625,4.05564223320306,2.28129875617672
815,"坏","a",3,84,0.903225806451613,2.51519719225591,2.27179101236018
367,"音箱","n",1,82,0.891304347826087,2.53929474383497,2.26328444559204
721,"满意","v",2,48,0.727272727272727,3.07481298019134,2.23622762195734
502,"音响","n",2,19,0.558823529411765,4.00157501193279,2.2361742713742
146,"退货","v",1,112,1,2.22751511980413,2.22751511980413
430,"满意","v",1,48,0.716417910447761,3.07481298019134,2.20285109028633
252,"辣鸡","x",1,15,0.517241379310345,4.23796378999702,2.19205023620535
10,"一个月","m",1,27,0.6,3.6501771250949,2.19010627505694
302,"不错","a",3,95,0.913461538461538,2.39213709949869,2.18512523511899
232,"小时","n",1,70,0.804597701149425,2.69751874904987,2.170417384293
228,"降价","n",2,38,0.655172413793103,3.30842783137284,2.16759064814083
274,"效果","n",4,67,0.788235294117647,2.74132137170826,2.16080625769945
