"top10.word","top10.tf_idf"
"听说",6.06610809010375
"没空",6.06610809010375
"真棒",6.06610809010375
"说明书",5.3729609095438
"不包",5.3729609095438
"差劲",4.45667017766965
"色彩",3.23289474604753
"卖家",3.03305404505187
"买过",3.03305404505187
"千万别",3.03305404505187
"不稳",3.03305404505187
"会员",2.8880542597558
"买贵",2.6864804547719
"差评",2.60037218730402
"送来",2.22833508883482
"伤心",2.22833508883482
"看着",2.14918436381752
"不行",2.06009897052422
"花纹",2.02203603003458
"外形",2.02203603003458
"搞笑",2.02203603003458
"一个半月",2.02203603003458
"降下",2.02203603003458
"店家",2.02203603003458
"再慢",2.02203603003458
"不谢",2.02203603003458
"假货",2.02203603003458
"困难",2.02203603003458
"假",2.02203603003458
"黑点",2.02203603003458
"大坑",2.02203603003458
"再也不会",2.02203603003458
"气死人",2.02203603003458
"清晰度",1.99333327421196
"无语",1.99333327421196
"后悔",1.99333327421196
"底座",1.99333327421196
"第一次",1.93444175638376
"质量",1.80342821306243
"一周",1.79098696984793
"右下角",1.79098696984793
"新机",1.79098696984793
"家电",1.79098696984793
"一般般",1.65583193381188
"别买",1.65583193381188
"钱",1.65583193381188
"太坑",1.65583193381188
"答非所问",1.65583193381188
"目无法纪",1.51652702252594
"票",1.51652702252594
"互相推诿",1.51652702252594
"负星",1.51652702252594
"介意",1.51652702252594
"超薄",1.51652702252594
"弯",1.51652702252594
"不值",1.51652702252594
"买然",1.51652702252594
"瑕疵",1.51652702252594
"烦死",1.51652702252594
"丢下",1.51652702252594
"毛",1.51652702252594
"跑",1.51652702252594
"开个",1.51652702252594
"太差",1.51079282619016
"掉价",1.48555672588988
"音响",1.48555672588988
"人工",1.48555672588988
"信号",1.43278957587835
"卖",1.42478287362523
"换",1.37339931368281
"交",1.34802402002305
"拆开",1.34324022738595
"送货员",1.34324022738595
"果断",1.34324022738595
"派送",1.34324022738595
"不错",1.32888884947464
"一点",1.28962783758918
"不到",1.28962783758918
"垃圾",1.25597737464626
"外观",1.25450766570323
"支架",1.24187395035891
"暂时",1.24187395035891
"坏点",1.24187395035891
"模糊",1.22273760576846
"刚买",1.22273760576846
"几天",1.22273760576846
"推四",1.21322161802075
"五六",1.21322161802075
"定格",1.21322161802075
"鬼",1.21322161802075
"照样",1.21322161802075
"过后",1.21322161802075
"砸",1.21322161802075
"配不上",1.21322161802075
"爆",1.21322161802075
"忽悠",1.21322161802075
"不佳",1.21322161802075
"发给",1.21322161802075
"感人",1.21322161802075
"总",1.21322161802075
"装修费",1.21322161802075
"来个",1.21322161802075
"从来没",1.21322161802075
"挂到",1.21322161802075
"问呐",1.21322161802075
"差别",1.21322161802075
"收费",1.20127322198705
"发票",1.17719941172812
"开具",1.16995343224596
"失望",1.16995343224596
"找",1.14235025349616
"活动",1.14235025349616
"便宜",1.11935262966718
"不买",1.11416754441741
"声音",1.11416754441741
"超烂",1.10292874365523
"图像",1.09783978928799
"最差",1.07459218190876
"往外",1.07459218190876
"没人接",1.07459218190876
"卡死",1.07459218190876
"没人管",1.07459218190876
"售",1.07459218190876
"柜",1.07459218190876
"放",1.07459218190876
"没得",1.07459218190876
"黑屏",1.07459218190876
"烦",1.07459218190876
"装修",1.07459218190876
"降",1.07459218190876
"一星",1.06858715521892
"画面质量",1.06858715521892
"退",1.06858715521892
"开机",1.05857877740253
"桌面",1.01101801501729
"第一天",1.01101801501729
"慢",1.01101801501729
"架",1.01101801501729
"不来",1.01101801501729
"失灵",1.01101801501729
"逼",1.01101801501729
"花大价",1.01101801501729
"水货",1.01101801501729
"太少",1.01101801501729
"关机",1.01101801501729
"液晶屏幕",1.01101801501729
"安",1.01101801501729
"终于",1.01101801501729
"都还没",1.01101801501729
"改成",1.01101801501729
"傻子",1.01101801501729
"减价",1.01101801501729
"不帮",1.01101801501729
"不见",1.01101801501729
"加",1.01101801501729
"一套",1.01101801501729
"有卡顿",1.01101801501729
"费",1.00719521746011
"到货",0.996666637105978
"碎",0.993499160287128
"说话",0.993499160287128
"配对",0.993499160287128
"遥控",0.993499160287128
"小伙伴",0.993499160287128
"双十",0.993499160287128
"送货上门",0.993499160287128
"收",0.993499160287128
"极差",0.993499160287128
"两个",0.993499160287128
"墙上",0.993499160287128
"验货",0.990371150593255
"套装",0.976901983553419
"评价",0.967220878191882
"物流",0.967220878191882
"坑",0.967220878191882
"态度",0.940880749277425
"卡顿",0.935962745796772
"消费者",0.935962745796772
"超级",0.935962745796772
"一单",0.9332473984775
"轻轻",0.895493484923967
"第二天",0.895493484923967
"链接",0.895493484923967
"回应",0.895493484923967
"一个多月",0.895493484923967
"到手",0.895493484923967
"优惠券",0.895493484923967
"补",0.895493484923967
"平台",0.895493484923967
"颜色",0.895493484923967
"易碎",0.895493484923967
"一个月",0.89133403553393
"预约",0.877373628539534
"骂人",0.866586870014821
"最最",0.866586870014821
"买后",0.866586870014821
"手卷",0.866586870014821
"壹佰",0.866586870014821
"后能",0.866586870014821
"兑现",0.866586870014821
"跟进",0.866586870014821
"年卡",0.866586870014821
"不在",0.866586870014821
"弄",0.866586870014821
"对牛弹琴",0.866586870014821
"两三个",0.866586870014821
"服",0.866586870014821
"机老",0.866586870014821
"买时",0.866586870014821
"剧",0.866586870014821
"太贵",0.866586870014821
"不太好",0.866586870014821
"老婆",0.866586870014821
"低落",0.866586870014821
"沙发",0.866586870014821
"坐在",0.866586870014821
"报废",0.866586870014821
"装掉",0.866586870014821
"启动",0.854869724175139
"商家",0.854869724175139
"装",0.854869724175139
"东西",0.839514472250384
"闪屏",0.82791596690594
"买来",0.82791596690594
"还行",0.82791596690594
"节目",0.82791596690594
"死",0.82791596690594
"差价",0.82791596690594
"投屏",0.824039588209687
"退货",0.824039588209687
"蓝牙",0.797333309684782
"坏",0.797333309684782
"店铺",0.782723624529516
"蓝屏",0.779968954830643
"音效",0.779968954830643
"两天",0.779968954830643
"告诉",0.779968954830643
"买回来",0.779968954830643
"开",0.773776702553506
