ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
可以打磨高达模型水口吗,2019-11-07 16:12:32,这个不懂不过挺好用的,2019-10-12 15:21:35,2019-10-12 16:42:12
请问是不是有一面能打毛甲面吗？,2019-05-14 10:05:11,可以,2019-02-26 13:08:54,2019-02-26 13:09:00
step123是随便用哪边磨吗,2019-05-14 10:05:58,按数字顺序打磨抛光，试试呗效果看得到,2018-08-08 18:45:26,2018-08-08 18:45:40
